,Player,Nation,Pos,Squad.2,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive1,PassDead1,TO1,Sh1,Fld1,Def1
0,Patrick van Aanholt,nl NED,"MF,DF",PSV Eindhoven,32,1990,1.1,1,0.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
1,Brenden Aaronson,us USA,MF,Union Berlin,22,2000,1.5,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
2,Salis Abdul Samed,gh GHA,MF,Lens,23,2000,5.5,12,2.18,10,0,0,0,1,1,0,0.00,0,0,0,0,0,0
3,Francesco Acerbi,it ITA,DF,Inter,35,1988,4.7,2,0.46,2,0,0,0,0,0,1,0.23,1,0,0,0,0,0
4,Elias Achouri,tn TUN,"FW,MF",FC Copenhagen,24,1999,6.1,19,3.09,10,0,5,3,1,0,1,0.16,1,0,0,0,0,0
5,Marcos Acuña,ar ARG,DF,Sevilla,31,1991,2.2,1,0.45,1,0,0,0,0,0,1,0.45,1,0,0,0,0,0
6,Karim Adeyemi,de GER,FW,Dortmund,21,2002,7.9,28,3.57,19,2,3,3,1,0,1,0.13,1,0,0,0,0,0
7,Yacine Adli,fr FRA,MF,Milan,23,2000,1.4,3,2.20,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
8,Ruben Aguilar,fr FRA,DF,Lens,30,1993,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
9,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,7.4,11,1.49,9,0,0,1,1,0,0,0.00,0,0,0,0,0,0
10,Nathan Aké,nl NED,"DF,MF",Manchester City,28,1995,4.3,17,3.98,16,0,0,1,0,0,1,0.23,1,0,0,0,0,0
11,Kerem Aktürkoğlu,tr TUR,"MF,FW",Galatasaray,24,1998,4.9,17,3.48,10,5,1,1,0,0,0,0.00,0,0,0,0,0,0
12,David Alaba,at AUT,DF,Real Madrid,31,1992,2.8,3,1.08,2,1,0,0,0,0,1,0.36,1,0,0,0,0,0
13,Luis Alberto,es ESP,MF,Lazio,30,1992,7.1,39,5.48,26,12,1,0,0,0,2,0.28,2,0,0,0,0,0
14,Toby Alderweireld,be BEL,DF,Antwerp,34,1989,5.0,8,1.60,5,1,1,1,0,0,0,0.00,0,0,0,0,0,0
15,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,19,2004,1.5,2,1.37,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
16,Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,4.6,17,3.70,13,0,0,1,2,1,2,0.44,1,0,0,1,0,0
