,Player,Nation,Pos,Squad.2,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%1
0,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,4,4,360.0,4.0,5,1.25,15,10,73.3,4,0,0,1,25.0,1,1,0,0,0.0
1,Emil Audero,id IDN,GK,Inter,26,1997,1,1,90.0,1.0,3,3.0,5,2,40.0,0,1,0,0,0.0,0,0,0,0,0.0
2,David von Ballmoos,ch SUI,GK,Young Boys,28,1994,1,1,90.0,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,0.0
3,Walter Benítez,ar ARG,GK,PSV Eindhoven,30,1993,8,8,720.0,8.0,13,1.62,34,21,61.8,2,4,2,1,12.5,0,0,0,0,0.0
4,Justin Bijlow,nl NED,GK,Feyenoord,25,1998,4,4,360.0,4.0,7,1.75,15,10,66.7,1,0,3,0,0.0,2,2,0,0,0.0
5,Janis Blaswich,de GER,GK,RB Leipzig,32,1991,5,5,450.0,5.0,9,1.8,21,13,57.1,3,0,2,0,0.0,0,0,0,0,0.0
6,Jean Butez,fr FRA,GK,Antwerp,28,1995,5,5,450.0,5.0,15,3.0,30,16,50.0,1,0,4,0,0.0,0,0,0,0,0.0
7,Diogo Costa,pt POR,GK,Porto,23,1999,8,8,750.0,8.3,9,1.08,28,20,67.9,5,0,3,2,25.0,0,0,0,0,0.0
8,Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,1,1,90.0,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,0.0
9,Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,4,4,360.0,4.0,8,2.0,15,8,53.3,0,1,3,0,0.0,1,1,0,0,0.0
10,Gianluigi Donnarumma,it ITA,GK,Paris S-G,24,1999,12,12,0.0,12.0,15,1.25,52,37,71.2,5,2,5,3,25.0,0,0,0,0,0.0
11,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,1,1,90.0,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,0.0
12,Ederson,br BRA,GK,Manchester City,29,1993,7,7,660.0,7.3,6,0.82,13,7,53.8,6,1,0,1,14.3,0,0,0,0,0.0
13,Omri Glazer,il ISR,GK,Red Star,27,1996,6,6,540.0,6.0,15,2.5,45,31,71.1,0,1,5,0,0.0,2,2,0,0,0.0
14,Kamil Grabara,pl POL,GK,FC Copenhagen,24,1999,8,8,720.0,8.0,14,1.75,44,30,70.5,2,2,4,2,25.0,1,1,0,0,0.0
15,Péter Gulácsi,hu HUN,GK,RB Leipzig,33,1990,3,3,270.0,3.0,3,1.0,9,6,66.7,1,1,1,0,0.0,0,0,0,0,0.0
16,Joe Hart,eng ENG,GK,Celtic,36,1987,6,6,540.0,6.0,15,2.5,38,21,60.5,1,1,4,0,0.0,2,0,2,0,100.0
17,Gregor Kobel,ch SUI,GK,Dortmund,25,1997,12,12,0.0,12.0,10,0.83,55,45,83.6,7,2,3,6,50.0,2,1,1,0,50.0
18,Senne Lammens,be BEL,GK,Antwerp,21,2002,1,1,90.0,1.0,2,2.0,6,4,83.3,0,0,1,0,0.0,1,1,0,0,0.0
19,Andriy Lunin,ua UKR,GK,Real Madrid,24,1999,8,8,750.0,8.3,10,1.2,45,34,80.0,4,4,0,2,25.0,2,1,1,0,50.0
20,Mike Maignan,fr FRA,GK,Milan,28,1995,6,6,530.0,5.9,8,1.36,26,18,73.1,2,2,2,1,16.7,1,1,0,0,0.0
21,Matheus,br BRA,GK,Braga,31,1992,6,6,540.0,6.0,12,2.0,32,22,62.5,1,1,4,0,0.0,0,0,0,0,0.0
22,Alex Meret,it ITA,GK,Napoli,26,1997,8,8,720.0,8.0,13,1.62,45,33,71.1,3,2,3,2,25.0,0,0,0,0,0.0
23,Alexander Meyer,de GER,GK,Dortmund,32,1991,1,1,90.0,1.0,1,1.0,4,3,100.0,0,1,0,0,0.0,1,1,0,0,0.0
24,Fernando Muslera,uy URU,GK,Galatasaray,37,1986,6,6,540.0,6.0,13,2.17,25,12,48.0,1,2,3,0,0.0,0,0,0,0,0.0
26,Manuel Neuer,de GER,GK,Bayern Munich,37,1986,9,9,810.0,9.0,8,0.89,28,20,78.6,4,3,2,4,44.4,2,2,0,0,0.0
27,Ørjan Nyland,no NOR,GK,Sevilla,32,1990,2,2,180.0,2.0,4,2.0,12,8,75.0,0,1,1,0,0.0,1,1,0,0,0.0
28,Jan Oblak,si SVN,GK,Atlético Madrid,30,1993,10,10,930.0,10.3,13,1.26,49,37,73.5,6,2,2,2,20.0,0,0,0,0,0.0
29,André Onana,cm CMR,GK,Manchester Utd,27,1996,6,6,540.0,6.0,15,2.5,35,19,62.9,1,1,4,1,16.7,4,2,1,1,33.3
30,Stefan Ortega,de GER,GK,Manchester City,30,1992,3,3,270.0,3.0,7,2.33,14,8,50.0,2,1,0,0,0.0,0,0,0,0,0.0
31,Iñaki Peña,es ESP,GK,Barcelona,24,1999,2,2,180.0,2.0,4,2.0,10,6,60.0,1,0,1,0,0.0,0,0,0,0,0.0
32,Nick Pope,eng ENG,GK,Newcastle Utd,31,1992,5,5,450.0,5.0,5,1.0,30,25,86.7,1,2,2,1,20.0,1,1,0,0,0.0
33,Ivan Provedel,it ITA,GK,Lazio,29,1994,8,8,720.0,8.0,10,1.25,31,21,67.7,4,1,3,3,37.5,0,0,0,0,0.0
34,Anthony Racioppi,ch SUI,GK,Young Boys,24,1998,5,5,450.0,5.0,11,2.2,42,31,78.6,1,1,3,1,20.0,2,2,0,0,0.0
35,Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,1,1,90.0,1.0,1,1.0,5,4,80.0,0,1,0,0,0.0,0,0,0,0,0.0
36,David Raya,es ESP,GK,Arsenal,27,1995,9,9,840.0,9.3,7,0.75,23,16,73.9,5,1,3,4,44.4,1,1,0,0,0.0
