,Player,Nation,Pos,Squad.2,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Patrick van Aanholt,nl NED,"MF,DF",PSV Eindhoven,32,1990,1.1,0,0,0,0,0,0,0,2,1,0,0,0,4,0,2,0.0
1,Brenden Aaronson,us USA,MF,Union Berlin,22,2000,1.5,0,0,0,1,1,0,0,3,0,0,0,0,10,2,3,40.0
2,Salis Abdul Samed,gh GHA,MF,Lens,23,2000,5.5,2,0,0,12,9,0,0,5,5,0,0,0,29,4,5,44.4
3,Francesco Acerbi,it ITA,DF,Inter,35,1988,4.7,1,0,0,4,6,1,4,5,1,0,0,0,25,12,5,70.6
4,Elias Achouri,tn TUN,"FW,MF",FC Copenhagen,24,1999,6.1,0,0,0,5,4,4,12,2,11,0,0,0,37,9,6,60.0
5,Marcos Acuña,ar ARG,DF,Sevilla,31,1991,2.2,0,0,0,5,2,0,4,1,2,0,0,0,16,2,3,40.0
6,Karim Adeyemi,de GER,FW,Dortmund,21,2002,7.9,0,0,0,15,12,1,14,8,5,0,0,0,42,5,4,55.6
7,Yacine Adli,fr FRA,MF,Milan,23,2000,1.4,0,0,0,1,3,0,10,3,2,0,0,0,10,1,2,33.3
8,Ruben Aguilar,fr FRA,DF,Lens,30,1993,1.1,0,0,0,1,1,2,1,0,4,0,0,0,5,0,2,0.0
9,Manuel Akanji,ch SUI,"DF,MF",Manchester City,28,1995,7.4,2,0,0,5,8,0,2,2,7,0,0,0,29,5,4,55.6
10,Nathan Aké,nl NED,"DF,MF",Manchester City,28,1995,4.3,0,0,0,2,3,0,3,0,2,0,0,0,22,6,2,75.0
11,Kerem Aktürkoğlu,tr TUR,"MF,FW",Galatasaray,24,1998,4.9,0,0,0,2,7,3,23,2,4,0,0,0,25,3,6,33.3
12,David Alaba,at AUT,DF,Real Madrid,31,1992,2.8,1,0,0,1,0,0,7,3,1,0,0,0,7,2,1,66.7
13,Luis Alberto,es ESP,MF,Lazio,30,1992,7.1,1,0,0,2,4,1,43,7,2,0,0,0,32,1,3,25.0
14,Toby Alderweireld,be BEL,DF,Antwerp,34,1989,5.0,2,0,0,5,0,0,1,5,4,0,0,0,24,13,7,65.0
15,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,19,2004,1.5,0,0,0,2,2,0,4,0,0,0,0,0,10,1,2,33.3
16,Miguel Almirón,py PAR,FW,Newcastle Utd,29,1994,4.6,1,0,0,2,13,1,5,4,11,0,0,0,24,0,1,0.0
17,Marcos Alonso,es ESP,"DF,FW",Barcelona,32,1990,1.5,0,0,0,3,1,0,7,2,0,0,0,0,8,1,1,50.0
18,Barış Alper Yılmaz,tr TUR,"FW,MF",Galatasaray,23,2000,1.4,0,0,0,2,3,0,1,2,2,0,0,0,8,2,10,16.7
19,Julián Álvarez,ar ARG,"MF,FW",Manchester City,23,2000,3.1,0,0,0,1,0,0,20,0,2,0,0,0,7,1,2,33.3
20,Mohamed Aly Camara,gn GUI,DF,Young Boys,25,1997,5.0,2,0,0,12,3,1,1,6,4,0,1,0,24,7,10,41.2
21,Aurele Amenda,ch SUI,DF,Young Boys,20,2003,3.5,1,0,0,9,1,0,0,6,4,0,0,0,16,8,2,80.0
22,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,26,1996,3.6,2,0,0,4,5,0,3,3,5,0,0,0,21,2,2,50.0
23,Elliot Anderson,eng ENG,MF,Newcastle Utd,20,2002,0.5,0,0,0,1,1,0,0,2,1,0,0,0,3,0,0,0
24,Felipe Anderson,br BRA,FW,Lazio,30,1993,6.0,0,0,0,5,9,0,8,12,7,0,0,0,30,1,3,25.0
26,Angeliño,es ESP,DF,Galatasaray,26,1997,4.7,0,0,0,10,5,0,15,6,5,0,0,0,21,6,8,42.9
27,Peter Ankersen,dk DEN,DF,FC Copenhagen,32,1990,5.2,0,0,0,2,2,0,22,10,8,0,0,0,39,3,6,33.3
28,Antony,br BRA,FW,Manchester Utd,23,2000,2.6,1,0,0,2,5,0,2,5,6,0,0,0,8,1,2,33.3
29,Jon Aramburu,ve VEN,DF,Real Sociedad,21,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Ronald Araújo,uy URU,DF,Barcelona,24,1999,7.3,2,1,0,5,3,0,0,8,10,0,0,0,28,13,5,72.2
31,Tomás Araújo,pt POR,DF,Benfica,21,2002,1.8,0,0,0,0,1,0,1,4,2,0,0,0,11,3,6,33.3
32,Marko Arnautović,at AUT,FW,Inter,34,1989,2.1,0,0,0,1,4,2,4,1,0,0,0,0,4,4,5,44.4
33,Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,4.0,1,0,0,0,1,0,0,0,0,0,0,0,6,2,0,100.0
34,Marco Asensio,es ESP,"FW,MF",Paris S-G,27,1996,1.4,0,0,0,1,1,0,1,0,1,0,0,0,6,0,2,0.0
35,Kristjan Asllani,al ALB,MF,Inter,21,2002,2.3,2,0,0,3,2,0,3,1,1,0,0,0,13,0,1,0.0
36,Otavio Ataide,br BRA,DF,Porto,21,2002,2.3,0,0,0,1,2,0,0,0,4,0,0,0,8,1,4,20.0
37,Emil Audero,id IDN,GK,Inter,26,1997,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
38,Carlos Augusto,br BRA,"DF,FW",Inter,24,1999,5.3,1,0,0,5,1,2,16,0,6,0,0,0,26,11,9,55.0
39,Yann Aurel Bisseck,de GER,DF,Inter,22,2000,1.9,2,0,0,4,2,0,3,1,0,0,0,0,6,3,1,75.0
40,Fredrik Aursnes,no NOR,"DF,MF",Benfica,27,1995,6.0,0,0,0,4,2,0,9,3,8,0,0,0,45,3,7,30.0
41,Kaan Ayhan,tr TUR,"MF,DF",Galatasaray,28,1994,4.2,2,0,0,3,2,1,1,11,5,0,0,0,27,9,2,81.8
42,Neil El Aynaoui,fr FRA,MF,Lens,22,2001,1.5,1,0,0,3,1,0,0,1,2,0,0,0,6,0,1,0.0
43,Irakli Azarov,ge GEO,DF,Shakhtar,21,2002,3.3,0,0,0,1,0,0,5,4,5,0,0,0,16,1,0,100.0
44,César Azpilicueta,es ESP,DF,Atlético Madrid,33,1989,3.2,2,0,0,4,1,0,1,5,5,0,0,0,17,3,5,37.5
45,Isaac Babadi,nl NED,"FW,MF",PSV Eindhoven,18,2005,0.2,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0
46,Loïc Bade,fr FRA,DF,Sevilla,23,2000,1.1,1,0,0,1,0,0,0,1,3,0,0,0,5,0,0,0
47,Alexander Bah,dk DEN,DF,Benfica,25,1997,2.1,0,0,0,0,2,0,6,4,6,0,0,0,16,4,3,57.1
